index,Headings,Text,result
89,INSTRUCTION,AIR LEAK INSPECTION ELECTRIC EQUIPOTENTIAL TEST LI-ION BATTERY HEATER Correct position Wrong position : Battery front JSCIA0873ZZ Revision: June 2014 2015 Leaf NAM,
80,INSTRUCTION,- Always keep the bus bar cover closed until imme diately before the installation of bus bar.,
17,INSTRUCTION,"• The indoor environment must also prevent metal powder, grease, and other foreign substances from entering due to maintenance performed on other vehicl es and other sources during disassembly work.",
23,INSTRUCTION,5.Standard fire fighting equipment • Always place a standard fire fighting equipment in the disassembly work area.,
22,INSTRUCTION,"• Take appropriate countermeasures so that persons other than the operator do not enter the work space, such as by placing signs indicating that disassembly work is in progress.",
85,INSTRUCTION,"Refer to EVC-137, ""Work Procedure"" .",
18,INSTRUCTION,"• If there is a risk of the above substances entering,  take appropriate countermeasures, such as use of a vinyl curtain or an equivalent to shut out the outside environment.",
16,INSTRUCTION,"2.Metal powder, grease, and other foreign substances must not enter.",
2,INSTRUCTION,Be sure to follow the correct work procedur es when performing inspection and maintenance.,
25,INSTRUCTION, 1.,
21,INSTRUCTION,4.Work space • The work space must be approximately the size of one entire vehicle.,
14,INSTRUCTION,"• The environment must utilize a shutter or other m eans to shut out the outside environment and prevent rain, snow, dust, or other substances from entering.",
15,INSTRUCTION,"• The environment must not cause the intrusion of sweat during work, or cause condensation to occur due to high temperature or humidity.",
13,INSTRUCTION,Must be an indoor environment.,
20,INSTRUCTION,• The floor must not be wet as a result of factors such as vehicle entry during rain or snow.,
19,INSTRUCTION,3.The floor must be dry.,
